99398, 90664, 95026, 93226, 99364, 94435, 93954, 94169, 92725, 96487, 99082, 98044, 94770, 97527, 92038, 90138, 99713, 
96057, 95285, 92107, 92471, 90643, 95207, 94180, 99630, 91667, 90043, 96867, 99827, 98216, 94966, 96169, 94520, 99753, 
96852, 91038, 92455, 90177, 98181, 95629, 95003, 94002, 92873, 91745, 94974, 90518, 96869, 98817, 98533, 91981, 92773, 
99707, 98386, 96181, 90987, 90730, 96560, 92039, 99415, 93343, 96757, 99288, 90039, 93158, 99541, 99748, 93458, 99176, 
98419, 98226, 91815, 92406, 91249, 95634, 96448, 98426, 99370, 95593, 99094, 92850, 96316, 98458, 94457, 92165, 99078, 
93502, 97618, 94923, 97470, 90802, 91848, 99927, 91380, 99268, 91168, 98683, 91397, 96227, 97242, 99148, 95671, 96968,
92056, 96602, 94682, 99749, 96241, 95324, 96084, 92903, 97856, 91689, 93768, 95897, 97998, 95269, 98843, 95443, 97693,
99599, 95389, 91112, 95179, 98349, 90502, 92287, 93913, 95843, 96408, 99740, 99420, 93085, 92252, 90638, 97451, 91754,
94517, 95382, 96814, 99005, 97998, 98288, 97719, 95316, 93736, 91858, 90523, 96120, 96393, 96144, 90331, 95511, 91165,
90534, 90083, 96916, 99539, 95183, 98494, 91305, 93925, 93284, 99452, 98245, 93536, 93354, 96376, 98907, 97741, 92838,
98403, 92987, 98581, 90433, 95276, 93437, 91109, 94769, 94305, 93880, 98813, 91336, 95911, 93635, 91487, 97883, 93872,
94390, 94595, 90903, 92653, 90738, 92469, 92273, 96962, 94010, 92432, 95652, 98023, 95172, 93375, 96782, 96973, 97869,
90219, 90525, 98260, 97172, 95203, 90147, 94926, 93028, 98016, 91119, 93310, 99983, 99399, 92575, 96797, 96363, 97044,
94413, 97020, 96757, 98376, 97008, 96165, 91392, 92092, 93517, 95886, 94792, 99241, 91837, 96760, 93955, 95042, 94414,
97159, 93242, 94659, 99319, 91963, 99109, 99696, 95245, 99638, 92922, 97321, 96466, 90842, 94136, 90609, 91111, 92967,
99361, 96940, 97648, 92788, 95034, 91118, 99918, 93750, 92710, 91234, 90681, 95323, 96387, 98259, 97269, 99323, 90658,
